home_appliance,real_power,60Hz,120Hz,180Hz,240Hz,300Hz,360Hz,420Hz,480Hz,540Hz,600Hz,660Hz,720Hz,780Hz,840Hz,900Hz,960Hz,1020Hz,1080Hz,1140Hz,1200Hz,1260Hz,1320Hz
Air Fryer,1149.14,137.0625254221942,2.679783499163069,1.759436959298695,1.1565385987885402,0.6504520402149303,0.9563822864868325,1.1031978680008714,0.5749613822698675,0.42070058054799253,0.4497261065842835,0.4360543336184627,0.39345798074035293,0.4712321594081121,0.3720671565423953,0.2654109382291277,0.34531251615611663,0.320726999054957,0.3282657948479388,0.33203482173022286,0.3531271624158845,0.30917460055200835,0.30276344023090207
Air Fryer,1170.37,137.8869538616198,2.128109549569103,3.6529944671652843,0.6136066004774482,1.0073869452789883,0.6349432225461565,0.401099010510539,0.3715237646609189,0.5521440026578696,0.24333007623482256,0.30917771853498205,0.264202850705914,0.20932971002503598,0.2318229127619012,0.26674204324435924,0.20200692385341215,0.239425542827972,0.20601146293786704,0.16932190117795023,0.2087350937063351,0.16331939861159822,0.2199491559498554
Air Fryer,1161.62,137.94202575767068,2.016107525087514,3.4183294722197153,0.6469679515048999,1.8707359814392495,0.24900652449571029,0.3953821842783602,0.28173827607884094,0.05480473105488298,0.19420201913500387,0.18845120052881797,0.17580328845338675,0.19780938361544714,0.14691625649202636,0.23232617137025816,0.17146582488928766,0.1744518655798927,0.12179313550636942,0.1308275092646186,0.11619677526151288,0.13820881360882079,0.107112754164037
Air Fryer,1143.94,136.48122669246897,2.726287087757376,2.3036150535176767,1.2767191346292621,2.3972927593891904,0.633852354357304,0.46991609883140584,0.5258345628451252,0.6189927149715355,0.4356651106751645,0.423796185764295,0.4252541373509352,0.3655272982673284,0.36507532718793223,0.4110635462642091,0.31618196060813936,0.32835686610990333,0.30553028180795216,0.2580724080750044,0.2533699259390217,0.2985126099192673,0.3020925057402131
Air Fryer,1171.88,138.36924423006857,1.5653655305267444,3.287182044638635,0.22364147469633575,1.5986189808376239,0.12590731681688994,0.3692400719629857,0.11507580426645006,0.22983680447105223,0.0447529793519778,0.06120933679789707,0.027289391655145545,0.06659002762789998,0.07062326798178176,0.14508111982604074,0.05622953872826316,0.015645553672986937,0.0671801556709273,0.0856424656456969,0.029373034372609623,0.006443953701428189,0.05030282937680705
Air Fryer,1145.79,136.91800369915782,2.603572336831823,2.28641682598954,1.0473621159905468,0.7883210229542369,0.8886248693470892,0.8977830237337385,0.582022365807775,0.6380483950433055,0.424593558489744,0.40768637574642674,0.3825594806019131,0.34196740890388183,0.34630995561318234,0.4605447960434413,0.22610773258900319,0.26244076767424507,0.26224846378670463,0.2877606976382739,0.22203115981480073,0.2805797519224932,0.25056552439755775
Air Fryer,1160.39,137.28557822544082,2.2272072821084863,3.6335352565051315,0.7210664337755087,1.170507722026382,0.643599538616914,0.6429369263746199,0.4038166340707347,0.6016514962866337,0.27704910851658954,0.33883658892560947,0.24894270465027662,0.24992627418747185,0.3115098456272568,0.39818538788802005,0.18398417353417687,0.21491521410874032,0.2404981121759293,0.22918206973380364,0.15904368309977573,0.2504087937082968,0.21085191346273138
Air Fryer,1164.71,138.0644872801144,1.9159038771306947,3.459126025351645,0.5184772049523197,1.876907992084998,0.17659471516700928,0.45123857410056434,0.14532484322227784,0.21443835979439768,0.15911754814243825,0.10844354856275824,0.10430994717634108,0.07180214583109448,0.1437075997449182,0.06998546164750712,0.2070451933893146,0.14377620414201475,0.1168896026702671,0.07137037191192519,0.11235990816812852,0.09762899541464873,0.10338864969454452
Air Fryer,1142.5,136.37465821486384,2.7909149838999836,1.8593509745510024,1.3150969065724598,2.4226205244934618,0.6817692154921153,0.291510207276406,0.5969958683364173,0.79329895772342,0.4662203676896099,0.4754738982388551,0.41958914935127384,0.3935697528436911,0.3187914696986824,0.1971851363328478,0.3784938839321035,0.3813528702374928,0.3006375523976004,0.31580900556254077,0.3088031969869696,0.2991184210504947,0.2910972521496288
Air Fryer,1173.23,138.27530413346292,1.6190532045259731,3.332163744084289,0.2484872824653174,1.558482796051271,0.17485852418493836,0.4369963383965177,0.12555596526766896,0.18815295607559354,0.16260969142745768,0.09214381815533042,0.06708723280960556,0.03571256583664316,0.041638519474817344,0.11179655604079687,0.10558665933890064,0.041836840120146664,0.07963219175372482,0.11504236608307263,0.06799661466118623,0.051232039655472864,0.04744149516110801
